service_id,first_date,last_date,active_days
k.299,2010-10-31,2010-10-31,1
m.298,2010-10-31,2010-10-31,1
m.299,2010-10-31,2010-10-31,1
U.299,2010-10-31,2010-11-28,5
B.298,2010-11-06,2010-12-04,5
B.299,2010-11-06,2010-12-04,5
C.298,2010-11-07,2010-11-28,4
C.299,2010-11-07,2010-11-28,4
C.300,2010-11-07,2010-11-28,4
U.300,2010-11-07,2010-11-28,4
p.300,2010-11-08,2010-12-02,15
7.300,2010-11-08,2010-12-03,18
A.300,2010-11-08,2010-12-03,19
e.300,2010-11-08,2010-12-03,14
E.300,2010-11-08,2010-12-03,11
W.300,2010-11-08,2010-12-03,19
P.300,2010-11-12,2010-12-03,4
8.300,2010-11-13,2010-12-04,4
B.300,2010-11-13,2010-12-04,4
S.300,2010-11-13,2010-12-04,4
X.294,2010-11-25,2010-11-25,1
X.295,2010-11-25,2010-11-25,1
X.297,2010-11-25,2010-11-25,1
X.298,2010-11-25,2010-11-25,1
X.299,2010-11-25,2010-11-25,1
X.300,2010-11-25,2010-11-25,1
V.296,2010-12-05,2010-12-19,3
C.296,2010-12-05,2011-02-20,12
U.296,2010-12-05,2011-02-20,12
7.296,2010-12-06,2011-02-22,57
A.296,2010-12-06,2011-02-22,57
e.296,2010-12-06,2011-02-22,44
E.296,2010-12-06,2011-02-22,35
p.296,2010-12-06,2011-02-22,46
W.296,2010-12-06,2011-02-22,57
P.296,2010-12-10,2011-02-18,10
8.296,2010-12-11,2011-02-19,9
B.296,2010-12-11,2011-02-19,9
S.296,2010-12-11,2011-02-19,9
V.301,2010-12-19,2010-12-19,1
C.301,2010-12-19,2011-03-13,13
U.301,2010-12-19,2011-03-13,13
7.301,2010-12-20,2011-03-14,60
A.301,2010-12-20,2011-03-14,59
p.301,2010-12-20,2011-03-14,48
W.301,2010-12-20,2011-03-14,60
P.301,2010-12-24,2011-03-11,11
N.296,2010-12-25,2010-12-25,1
N.301,2010-12-25,2010-12-25,1
X.296,2010-12-25,2011-01-17,3
X.301,2010-12-25,2011-01-17,3
Y.296,2010-12-31,2010-12-31,1
Y.301,2010-12-31,2010-12-31,1
n.296,2011-01-01,2011-01-01,1
n.301,2011-01-01,2011-01-01,1
C.303,2011-01-02,2011-02-27,9
U.303,2011-01-02,2011-02-27,9
p.303,2011-01-03,2011-03-03,35
7.303,2011-01-03,2011-03-04,44
A.303,2011-01-03,2011-03-04,44
e.303,2011-01-03,2011-03-04,42
E.303,2011-01-03,2011-03-04,33
W.303,2011-01-03,2011-03-04,44
e.301,2011-01-03,2011-03-14,48
E.301,2011-01-03,2011-03-14,38
P.303,2011-01-07,2011-03-04,9
8.303,2011-01-08,2011-03-05,9
B.303,2011-01-08,2011-03-05,9
S.303,2011-01-08,2011-03-05,9
8.301,2011-01-08,2011-03-12,10
B.301,2011-01-08,2011-03-12,10
S.301,2011-01-08,2011-03-12,10
D.296,2011-01-13,2011-01-14,2
D.301,2011-01-13,2011-01-14,2
D.303,2011-01-13,2011-01-14,2
J.296,2011-01-15,2011-01-15,1
J.301,2011-01-15,2011-01-15,1
J.303,2011-01-15,2011-01-15,1
T.296,2011-01-16,2011-01-16,1
T.301,2011-01-16,2011-01-16,1
T.303,2011-01-16,2011-01-16,1
T.304,2011-01-16,2011-01-16,1
C.304,2011-01-16,2011-02-27,7
U.304,2011-01-16,2011-02-27,7
X.303,2011-01-17,2011-01-17,1
X.304,2011-01-17,2011-01-17,1
p.304,2011-01-18,2011-03-03,27
7.304,2011-01-18,2011-03-04,34
A.304,2011-01-18,2011-03-04,34
e.304,2011-01-18,2011-03-04,32
E.304,2011-01-18,2011-03-04,25
W.304,2011-01-18,2011-03-04,34
P.304,2011-01-21,2011-03-04,7
8.304,2011-01-22,2011-03-05,7
B.304,2011-01-22,2011-03-05,7
S.304,2011-01-22,2011-03-05,7
C.305,2011-01-30,2011-02-27,5
U.305,2011-01-30,2011-02-27,5
p.305,2011-01-31,2011-03-03,20
7.305,2011-01-31,2011-03-04,25
A.305,2011-01-31,2011-03-04,25
W.305,2011-01-31,2011-03-04,25
e.305,2011-02-01,2011-03-04,23
E.305,2011-02-01,2011-03-04,18
P.305,2011-02-04,2011-03-04,5
8.305,2011-02-05,2011-03-05,5
B.305,2011-02-05,2011-03-05,5
S.305,2011-02-05,2011-03-05,5
C.306,2011-02-13,2011-02-27,3
U.306,2011-02-13,2011-02-27,3
p.306,2011-02-14,2011-03-03,12
7.306,2011-02-14,2011-03-04,15
A.306,2011-02-14,2011-03-04,15
e.306,2011-02-14,2011-03-04,14
E.306,2011-02-14,2011-03-04,11
W.306,2011-02-14,2011-03-04,15
P.306,2011-02-18,2011-03-04,3
8.306,2011-02-19,2011-03-05,3
B.306,2011-02-19,2011-03-05,3
S.306,2011-02-19,2011-03-05,3
C.302,2011-03-06,2011-05-29,13
U.302,2011-03-06,2011-05-29,13
p.302,2011-03-07,2011-06-02,51
7.302,2011-03-07,2011-06-03,64
A.302,2011-03-07,2011-06-03,64
e.302,2011-03-07,2011-06-03,58
E.302,2011-03-07,2011-06-03,46
W.302,2011-03-07,2011-06-03,64
P.302,2011-03-11,2011-06-03,13
8.302,2011-03-12,2011-05-28,12
B.302,2011-03-12,2011-05-28,12
S.302,2011-03-12,2011-05-28,12
C.308,2011-03-20,2011-05-29,11
U.308,2011-03-20,2011-05-29,11
p.308,2011-03-21,2011-06-02,43
7.308,2011-03-21,2011-06-03,54
A.308,2011-03-21,2011-06-03,54
W.308,2011-03-21,2011-06-03,54
P.308,2011-03-25,2011-06-03,11
8.308,2011-03-26,2011-06-04,11
B.308,2011-03-26,2011-06-04,11
S.308,2011-03-26,2011-06-04,11
e.308,2011-03-28,2011-06-03,48
