"ogc_fid","rte","dir","rte_desc","dir_desc","type","stop_seq","stop_id","stop_name","jurisdic","zipcode","frequent"
123,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2050,4867,"SE River Rd & Parkview Circle","Clackamas Co.","97267","False"
124,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2100,4831,"SE River Rd & Anspach","Clackamas Co.","97267","False"
125,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2150,4883,"SE River Rd & Rosebrier","Clackamas Co.","97267","False"
126,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2200,4865,"SE River Rd & Oak Grove","Clackamas Co.","97267","False"
127,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2250,4857,"SE River Rd & Maple","Clackamas Co.","97267","False"
128,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2300,4822,"14000 Block SE River Rd","Clackamas Co.","97267","False"
129,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2350,4840,"SE River Rd & Courtney","Clackamas Co.","97267","False"
130,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2400,4891,"SE River Rd & Torbank","Clackamas Co.","97222","False"
131,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2450,4846,"SE River Rd & Evergreen","Clackamas Co.","97222","False"
132,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2550,4819,"12500 Block SE River Rd","Milwaukie","97222","False"
133,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2600,4892,"SE River Rd & Wren","Milwaukie","97222","False"
134,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2750,8223,"SE Jackson & Main St","Milwaukie","97222","False"
135,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3700,3435,"SE Linwood & Monroe","Clackamas Co.","97222","False"
136,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3750,3424,"SE Linwood & Montgomery","Milwaukie","97222","False"
137,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3800,3427,"11600 Block SE Linwood","Milwaukie","97222","False"
138,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3850,3431,"SE Linwood & Furnberg","Milwaukie","97222","False"
139,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3900,3433,"11900 Block SE Linwood (Linwood Sch)","Milwaukie","97222","False"
140,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3950,3429,"12300 Block SE Linwood","Milwaukie","97222","False"
141,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4000,2498,"SE Harmony & Linwood","Clackamas Co.","97222","False"
142,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4150,1934,"SE Fuller & Sunnyside Dr","Clackamas Co.","97222","False"
143,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4200,1939,"SE Fuller & Southgate","Clackamas Co.","97222","False"
144,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4250,1935,"11900 Block SE Fuller (La Salle)","Clackamas Co.","97222","False"
145,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4450,12921,"Clackamas Town Center Mall","Clackamas Co.","97086","False"
146,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4500,13247,"Clackamas Town Center TC","Clackamas Co.","97015","False"
147,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4600,13248,"Clackamas Town Center Transit Center","Clackamas Co.","97015","False"
148,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4317,13871,"SE Monterey & Fuller","Clackamas Co.","97222","False"
149,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",4384,13872,"8000 Block SE Monterey","Clackamas Co.","97086","False"
150,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",2700,13777,"SE Washington & 21st","Milwaukie","97222","False"
151,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3450,13806,"4900 Block SE Johnson Creek","Milwaukie","97222","False"
152,34,1,"34-Linwood/River Rd","To Clackamas Town Center","BUS",3150,13807,"SE Johnson Creek & 32nd","Portland","97222","False"
153,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2200,1947,"SW Gaines & 6th","Portland","97239","True"
154,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2250,1949,"SW Gaines & 9th","Portland","97239","True"
155,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2300,1945,"SW Gaines & 11th","Portland","97239","True"
156,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",2350,6548,"SW 11th & Gibbs","Portland","97239","True"
157,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1550,9311,"NW Glisan & 3rd","Portland","97209","True"
158,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1600,9301,"NW 5th & Davis","Portland","97209","True"
159,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1650,7631,"SW 5th & Pine","Portland","97204","True"
