HWYNAME,HWYNUMB,ST_HWY_SFX,RDWY_ID,MLGE_TYP,OVLP_CD,MP,MP_DESC,MP_DISP,LRS_KEY,LRM_KEY,LAT,LONGTD,HRZ_COL_M,CRD_RF_DTM,EFFECTV_DT,GIS_PRC_DT
PACIFIC,001,00,1,0,0,297.02,MILEPOST 297.00,297.00,000100100S00,00100D00,45.470182,-122.6887083,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,298,MILEPOST 298.00,298.00,000100100S00,00100D00,45.4766988,-122.6789336,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,299.02,MILEPOST 299.00,299.00,000100100S00,00100D00,45.4903561,-122.675135,3,NAD 83,2014,07/14/2015
THE DALLES-CALIFORNIA,004,00,1,0,0,217.01,MILEPOST 217.00,217.00,000400100S00,00400I00,43.0238623,-121.825875,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,216.99,MILEPOST 217.00,217.00,000900100S00,00900I00,43.6612042,-124.1876731,3,NAD 83,2014,07/14/2015
CRATER LAKE,022,00,1,0,0,8,MILEPOST 8.00,8.00,002200100S00,02200I00,42.4455006,-122.8286369,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,19.01,MILEPOST 19.00,19.00,013800100S00,13800I00,43.3202213,-123.0587774,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,18.01,MILEPOST 18.00,18.00,013800100S00,13800I00,43.3099921,-123.0725393,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,17.23,MILEPOST 17.00,17.00,013800100S00,13800I00,43.3039024,-123.0854958,3,NAD 83,2014,07/14/2015
FLORENCE-EUGENE,062,00,1,0,0,25.01,MILEPOST 25.00,25.00,006200100S00,06200I00,43.9978241,-123.6753612,3,NAD 83,2014,07/14/2015
FLORENCE-EUGENE,062,00,1,0,0,25.99,MILEPOST 26.00,26.00,006200100S00,06200I00,44.006536,-123.663071,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,300,MILEPOST 300.00,300.00,000100100S00,00100D00,45.5041916,-122.674489,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,301,MILEPOST 301.00,301.00,000100100S00,00100D00,45.5162687,-122.6674089,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,6,MILEPOST 6.00,6.00,013800100S00,13800I00,43.2203448,-123.237527,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,7,MILEPOST 7.00,7.00,013800100S00,13800I00,43.233428,-123.2293633,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,5,MILEPOST 5.00,5.00,013800100S00,13800I00,43.2103353,-123.2498816,3,NAD 83,2014,07/14/2015
MIST-CLATSKANIE,110,00,1,0,0,5.93,MILEPOST 6.00,6.00,011000100S00,11000I00,46.0630981,-123.266423,3,NAD 83,2014,07/14/2015
